1770,2719,N
1771,2721,1
1771,2722,2
1771,2720,None
1772,2727,0:3
1772,2729,0:4
1772,2730,0:5
1772,2728,1:3
1772,2723,3:0
1772,2724,3:1
1772,2725,4:0
1772,2726,5:0
1772,2731,other
1773,2732,Over
1773,2733,Under
1774,2734,Over
1774,2735,Under
1775,2737,No
1775,2736,Yes
1776,2739,No
1776,2738,Yes
1777,2740,1
1777,2742,2
1777,2741,X
1778,2743,Over
1778,2744,Under
1779,2745,Over
1779,2746,Under
1780,2748,No
1780,2747,Yes
1781,2750,No
1781,2749,Yes
1782,2754,0:0
1782,2757,0:1
1782,2758,0:2
1782,2751,1:0
1782,2755,1:1
1782,2759,1:2
1782,2752,2:0
1782,2753,2:1
1782,2756,2:2
1782,2760,other
1783,2765,0:3
1783,2767,0:4
1783,2768,0:5
1783,2766,1:3
1783,2761,3:0
1783,2762,3:1
1783,2763,4:0
1783,2764,5:0
1783,2769,other
1784,2771,1
1784,2772,2
1784,2770,None
1785,2773,1
1785,2775,2
1785,2774,X
1786,2777,2
1786,2776,X
1787,2778,1
1787,2779,X
1788,2781,No
1788,2780,Yes
1789,2783,No
1789,2782,Yes
1790,2785,Even
1790,2784,Odd
1791,2787,Even
1791,2786,Odd
1792,2793,Over and away
1792,2792,Over and draw
1792,2791,Over and home
1792,2790,Under and away
1792,2789,Under and draw
1792,2788,Under and home
1793,2799,Away / No
1793,2798,Away / Yes
1793,2797,Draw / No
1793,2796,Draw / Yes
1793,2795,Home / No
1793,2794,Home / Yes
1794,2802,No / Over
1794,2803,No / Under
1794,2800,Yes / Over
1794,2801,Yes / Under
1795,2805,Expected supremacy
1795,2804,Expected total
1796,2265,0:4
1796,2264,1:4
1796,2263,2:4
1796,2262,3:4
1796,2258,4:0
1796,2259,4:1
1796,2260,4:2
1796,2261,4:3
1797,2275,0:5
1797,2274,1:5
1797,2273,2:5
1797,2272,3:5
1797,2271,4:5
1797,2266,5:0
1797,2267,5:1
1797,2268,5:2
1797,2269,5:3
1797,2270,5:4
1798,2287,0:6
1798,2286,1:6
1798,2285,2:6
1798,2284,3:6
1798,2283,4:6
1798,2282,5:6
1798,2276,6:0
1798,2277,6:1
1798,2278,6:2
1798,2279,6:3
1798,2280,6:4
1798,2281,6:5
1799,1702,1
1799,1704,2
1799,1703,X
1800,1705,Over
1800,1706,Under
1801,1707,Over
1801,1708,Under
1802,1709,0-49
1802,1710,50-59
1802,1711,60-64
1802,1712,65-69
1802,1713,70-74
1802,1714,75-79
1802,1715,80-84
1802,1716,85-94
1802,1717,95+
1803,1718,0-49
1803,1719,50-59
1803,1720,60-64
1803,1721,65-69
1803,1722,70-74
1803,1723,75-79
1803,1724,80-84
1803,1725,85-94
1803,1726,95+
1804,1727,1
1804,1729,2
1804,1728,X
1805,1730,Over
1805,1731,Under
1806,1732,Over
1806,1733,Under
1807,1734,0-24
1807,1735,25-29
1807,1736,30-34
1807,1737,35-39
1807,1738,40-44
1807,1739,45-49
1807,1740,50-54
1807,1741,55-59
1807,1742,60+
1808,1743,0-24
1808,1744,25-29
1808,1745,30-34
1808,1746,35-39
1808,1747,40-44
1808,1748,45-49
1808,1749,50-54
1808,1750,55-59
1808,1751,60+
1809,1752,0-99
1809,1753,100-119
1809,1754,120-129
1809,1755,130-139
1809,1756,140-149
1809,1757,150-159
1809,1758,160-169
1809,1759,170-189
1809,1760,190+
1810,1761,0-99
1810,1762,100-119
1810,1763,120-129
1810,1764,130-139
1810,1765,140-149
1810,1766,150-159
1810,1767,160-169
1810,1768,170-189
1810,1769,190+
1811,1770,0-12
1811,1771,13-14
1811,1772,15-16
1811,1773,17-18
1811,1774,19-20
1811,1775,21-22
1811,1776,23+
1812,1778,Away
1812,1779,Both teams
1812,1777,Home
1813,1798,Player 1
1813,1799,Player 2
1814,1801,None
1814,1800,Player 1
1814,1802,Player 2
1815,1804,Draw
1815,1803,Player 1
1815,1805,Player 2
1816,1806,Player 1
1816,1807,Player 2
1817,1808,Over
1817,1809,Under
1818,1810,Over
1818,1811,Under
1819,1812,Over
1819,1813,Under
1820,1814,1
1820,1815,2
1821,1823,0:4
1821,1822,1:4
1821,1821,2:4
1821,1820,3:4
1821,1816,4:0
1821,1817,4:1
1821,1818,4:2
1821,1819,4:3
1822,1833,0:5
1822,1832,1:5
1822,1831,2:5
1822,1830,3:5
1822,1829,4:5
1822,1824,5:0
1822,1825,5:1
1822,1826,5:2
1822,1827,5:3
1822,1828,5:4
1823,1845,0:6
1823,1844,1:6
1823,1843,2:6
1823,1842,3:6
1823,1841,4:6
1823,1840,5:6
1823,1834,6:0
1823,1835,6:1
1823,1836,6:2
1823,1837,6:3
1823,1838,6:4
1823,1839,6:5
1824,1859,0:7
1824,1858,1:7
1824,1857,2:7
1824,1856,3:7
1824,1855,4:7
1824,1854,5:7
1824,1853,6:7
1824,1846,7:0
1824,1847,7:1
1824,1848,7:2
1824,1849,7:3
1824,1850,7:4
1824,1851,7:5
1824,1852,7:6
1825,1875,0:8
1825,1874,1:8
1825,1873,2:8
1825,1872,3:8
1825,1871,4:8
1825,1870,5:8
1825,1869,6:8
1825,1868,7:8
1825,1860,8:0
1825,1861,8:1
1825,1862,8:2
1825,1863,8:3
1825,1864,8:4
1825,1865,8:5
1825,1866,8:6
1825,1867,8:7
1826,1881,0:3
1826,1880,1:3
1826,1879,2:3
1826,1876,3:0
1826,1877,3:1
1826,1878,3:2
