346,Checkout colour in leg x for thirteenth set
347,Any player to score a 180 in leg x for first set
348,Any player to score a 180 in leg x for second set
349,Any player to score a 180 in leg x for third set
350,Any player to score a 180 in leg x for forth set
351,Any player to score a 180 in leg x for fifth set
352,Any player to score a 180 in leg x for sixth set
353,Any player to score a 180 in leg x for seventh set
354,Any player to score a 180 in leg x for eighth set
355,Any player to score a 180 in leg x for ninth set
356,Any player to score a 180 in leg x for tenth set
357,Any player to score a 180 in leg x for eleventh set
358,Any player to score a 180 in leg x for twelfth set
359,Any player to score a 180 in leg x leg for thirteenth set
360,Player 1 to score a 180 in leg x for first set
361,Player 1 to score a 180 in leg x for second set
362,Player 1 to score a 180 in leg x for third set
363,Player 1 to score a 180 in leg x for forth set
364,Player 1 to score a 180 in leg x for fifth set
365,Player 1 to score a 180 in leg x for sixth set
366,Player 1 to score a 180 in leg x for seventh set
367,Player 1 to score a 180 in leg x for eighth set
368,Player 1 to score a 180 in leg x for ninth set
369,Player 1 to score a 180 in leg x for tenth set
370,Player 1 to score a 180 in leg x for eleventh set
371,Player 1 to score a 180 in leg x for twelfth set
372,Player 1 to score a 180 in leg x for thirteenth set
373,Player 2 to score a 180 in leg x for first set
374,Player 2 to score a 180 in leg x for second set
375,Player 2 to score a 180 in leg x for third set
376,Player 2 to score a 180 in leg x for forth set
377,Player 2 to score a 180 in leg x for fifth set
378,Player 2 to score a 180 in leg x for sixth set
379,Player 2 to score a 180 in leg x for seventh set
380,Player 2 to score a 180 in leg x for eighth set
381,Player 2 to score a 180 in leg x for ninth set
382,Player 2 to score a 180 in leg x for tenth set
383,Player 2 to score a 180 in leg x for eleventh set
384,Player 2 to score a 180 in leg x for twelfth set
385,Player 2 to score a 180 in leg x for thirteenth set
386,Total 180s for first set
387,Total 180s for second set
388,Total 180s for third set
389,Total 180s for forth set
390,Total 180s for fifth set
391,Total 180s for sixth set
392,Total 180s for seventh set
393,Total 180s for eighth set
394,Total 180s for ninth set
395,Total 180s for tenth set
396,Total 180s for eleventh set
397,Total 180s for twelfth set
